№,shop,brand,model,length_cm,condition,orig_price,price,url
129,xtreme.ge,HEAD,Shape Black Edition SW LYT-PR Set,163,new,,1799.0,https://www.xtreme.ge/en/shop/shape-black-edition-sw-lyt-pr-set-215337?page=6
130,xtreme.ge,HEAD,Shape Black Edition SW LYT-PR Set,170,new,,1799.0,https://www.xtreme.ge/en/shop/shape-black-edition-sw-lyt-pr-set-215337?page=6
131,xtreme.ge,HEAD,Shape Black Edition SW LYT-PR Set,177,new,,1799.0,https://www.xtreme.ge/en/shop/shape-black-edition-sw-lyt-pr-set-215337?page=6
132,xtreme.ge,HEAD,Shape e-V8 SW AMT-PR  Set,,new,1799.0,1439.0,https://www.xtreme.ge/en/shop/shape-e-v8-sw-amt-pr-set-219059?page=9
133,xtreme.ge,HEAD,Shape NX R LYT-PR  Set,163,new,,1399.0,https://www.xtreme.ge/en/shop/shape-nx-r-lyt-pr-set-218189?page=7
134,xtreme.ge,HEAD,Shape SX Black Edition SW LYT-PR Set,156,new,,1699.0,https://www.xtreme.ge/en/shop/shape-sx-black-edition-sw-lyt-pr-set-215342?page=6
135,xtreme.ge,HEAD,Shape SX Black Edition SW LYT-PR Set,163,new,,1699.0,https://www.xtreme.ge/en/shop/shape-sx-black-edition-sw-lyt-pr-set-215342?page=6
136,xtreme.ge,HEAD,Shape SX Black Edition SW LYT-PR Set,170,new,,1699.0,https://www.xtreme.ge/en/shop/shape-sx-black-edition-sw-lyt-pr-set-215342?page=6
137,xtreme.ge,HEAD,Shape SX R SW LYT-PR R Set,,new,1999.0,1599.0,https://www.xtreme.ge/en/shop/shape-sx-r-sw-lyt-pr-r-set-218977?page=9
138,xtreme.ge,HEAD,Shape SX R SW LYT-PR SET,170,new,1549.0,1239.0,https://www.xtreme.ge/en/shop/shape-sx-r-sw-lyt-pr-set-103373
139,xtreme.ge,HEAD,Shape VR LYT-PR SET,163,new,1199.0,959.0,https://www.xtreme.ge/en/shop/shape-vr-lyt-pr-set-103366
140,xtreme.ge,HEAD,Shape VR LYT-PR SET,170,new,1199.0,959.0,https://www.xtreme.ge/en/shop/shape-vr-lyt-pr-set-103366
